lat,lon,25.09 16.50,25.09 17.00,21.09 08.30,21.09 16.30,21.09 17.00,23.09 17.40,konflikter,forenlige
58.950,10.075,28,19,0,0,0,37,1,3
58.950,10.171,34,30,0,0,0,37,3,3
58.950,10.268,20,25,0,0,0,36,1,3
58.950,10.365,18,31,0,0,0,38,2,3
58.950,10.462,6,19,0,0,0,40,1,4
58.950,10.559,5,13,0,0,0,41,1,5
58.950,10.656,0,7,0,0,0,38,1,5
58.950,10.753,0,4,0,0,0,36,1,5
58.950,10.850,0,0,0,0,0,33,1,5
58.950,10.947,0,0,0,0,0,34,1,5
58.950,11.044,5,0,0,0,0,35,1,5
58.950,11.141,17,1,0,0,0,35,1,4
58.950,11.238,31,5,0,0,0,32,2,4
58.950,11.335,26,25,0,10,0,28,0,3
58.950,11.432,10,28,0,1,0,26,0,4
58.950,11.529,14,24,0,0,0,27,0,4
58.950,11.626,0,13,0,0,0,25,0,5
58.950,11.722,0,1,0,0,0,24,0,5
58.950,11.819,0,0,0,0,0,27,0,5
58.950,11.916,0,0,0,0,4,26,0,5
58.950,12.013,0,0,0,0,5,24,0,5
58.950,12.110,0,0,0,0,2,29,0,5
58.950,12.207,0,0,0,0,2,31,1,5
58.950,12.304,1,0,0,0,0,29,0,5
58.950,12.401,1,0,0,0,0,30,0,5
58.950,12.498,1,0,0,0,0,31,1,5
58.950,12.595,0,0,0,0,0,30,1,5
58.950,12.692,1,0,0,0,0,31,1,5
58.950,12.789,2,0,0,0,0,29,0,5
58.950,12.886,1,1,0,0,0,25,0,5
58.950,12.983,4,0,0,0,0,27,0,5
58.950,13.080,5,2,0,0,0,29,0,5
59.000,6.100,52,56,0,2,19,48,3,2
59.000,6.197,30,39,0,0,19,31,2,2
59.000,6.294,24,27,0,0,7,30,0,3
59.000,6.391,7,20,1,0,0,31,1,4
59.000,6.488,9,10,17,0,0,26,0,4
59.000,6.585,17,11,11,4,0,21,0,4
59.000,6.682,18,12,0,0,1,25,0,4
59.000,6.780,18,18,0,0,0,26,0,3
59.000,6.877,29,32,20,0,0,30,2,2
59.000,6.974,26,37,0,1,0,37,2,3
59.000,7.071,48,22,0,0,0,36,2,3
59.000,7.168,53,36,0,0,0,45,3,3
59.000,7.265,53,31,0,0,0,40,3,3
59.000,7.362,53,42,0,0,0,38,3,3
59.000,7.459,54,52,0,0,0,40,3,3
59.000,7.556,52,58,0,0,0,40,3,3
59.000,7.653,51,43,0,0,0,39,3,3
59.000,7.750,61,39,0,0,0,45,3,3
59.000,7.847,58,49,0,0,0,49,3,3
59.000,7.945,49,48,0,0,0,47,3,3
59.000,8.042,53,54,0,0,0,44,3,3
59.000,8.139,50,54,0,0,0,40,3,3
59.000,8.236,44,48,0,0,0,41,3,3
59.000,8.333,30,35,0,0,0,42,3,3
59.000,8.430,25,39,0,0,0,40,2,3
59.000,8.527,32,32,0,0,0,42,3,3
59.000,8.624,34,21,0,0,0,35,2,3
59.000,8.721,45,36,0,0,0,34,3,3
59.000,8.818,22,30,0,0,0,37,1,3
59.000,8.915,26,22,0,0,0,33,1,3
59.000,9.012,22,28,0,0,0,35,1,3
59.000,9.109,29,22,0,0,0,44,1,3
59.000,9.207,30,18,0,0,0,43,1,3
59.000,9.304,30,20,0,0,0,42,1,3
59.000,9.401,30,29,0,0,0,39,2,3
59.000,9.498,34,31,0,0,0,39,3,3
59.000,9.595,13,31,0,0,0,38,2,4
59.000,9.692,13,32,0,0,0,40,2,4
59.000,9.789,12,12,0,0,0,36,1,5
59.000,9.886,20,16,0,0,0,37,1,3
59.000,9.983,30,11,0,0,0,36,2,4
59.000,10.080,27,20,0,0,0,35,1,3
59.000,10.177,30,27,0,0,0,38,1,3
59.000,10.274,17,25,0,0,0,38,1,3
59.000,10.372,6,28,0,0,0,37,1,4
59.000,10.469,10,16,0,0,0,38,1,4
59.000,10.566,6,4,0,0,0,38,1,5
59.000,10.663,0,8,0,0,0,38,1,5
59.000,10.760,0,5,0,0,0,35,1,5
59.000,10.857,0,0,0,0,0,34,1,5
59.000,10.954,0,0,0,0,0,34,1,5
59.000,11.051,5,0,0,0,0,36,1,5
59.000,11.148,19,0,0,0,0,34,1,4
59.000,11.245,27,3,0,0,0,32,1,4
59.000,11.342,32,21,0,4,0,31,2,3
59.000,11.439,13,25,0,4,0,27,0,4
59.000,11.536,3,23,0,0,0,29,0,4
59.000,11.634,0,12,0,0,0,24,0,5
59.000,11.731,0,5,0,0,0,24,0,5
59.000,11.828,0,0,0,0,0,26,0,5
59.000,11.925,0,0,0,0,0,26,0,5
59.000,12.022,0,0,0,0,6,24,0,5
59.000,12.119,0,0,0,0,5,30,1,5
59.000,12.216,0,0,0,0,3,31,1,5
59.000,12.313,0,0,0,0,0,31,1,5
59.000,12.410,0,0,0,0,0,33,1,5
59.000,12.507,1,0,0,0,0,32,1,5
59.000,12.604,1,1,0,0,0,28,0,5
59.000,12.701,0,0,0,0,0,26,0,5
59.000,12.799,1,0,0,0,0,27,0,5
59.000,12.896,2,0,0,0,0,24,0,5
59.000,12.993,11,2,0,0,0,24,0,5
59.000,13.090,5,3,0,0,0,31,1,5
59.050,6.100,56,49,4,9,42,45,4,2
59.050,6.197,26,43,3,0,16,33,2,2
59.050,6.294,18,25,3,0,10,31,1,3
59.050,6.392,15,18,2,0,0,22,0,3
59.050,6.489,17,12,15,0,0,21,0,3
59.050,6.586,16,12,17,0,0,23,0,3
59.050,6.683,11,13,2,0,0,22,0,5
59.050,6.781,15,15,1,0,0,22,0,5
59.050,6.878,23,21,11,0,0,21,0,3
59.050,6.975,33,47,0,0,0,30,2,3
59.050,7.072,32,30,0,0,0,32,3,3
59.050,7.169,43,28,0,0,0,36,2,3
59.050,7.267,41,36,0,0,0,37,3,3
59.050,7.364,61,30,0,0,0,36,2,3
59.050,7.461,55,48,0,0,0,43,3,3
59.050,7.558,58,58,0,0,0,36,3,3
59.050,7.656,57,50,0,0,0,45,3,3
59.050,7.753,61,46,0,0,0,47,3,3
59.050,7.850,58,51,0,0,0,48,3,3
59.050,7.947,49,43,0,0,0,46,3,3
59.050,8.044,51,47,0,0,0,43,3,3
59.050,8.142,55,47,0,0,0,39,3,3
59.050,8.239,46,46,0,0,0,40,3,3
59.050,8.336,43,43,0,0,0,40,3,3
59.050,8.433,28,35,0,0,0,40,2,3
59.050,8.531,36,38,0,0,0,40,3,3
59.050,8.628,31,32,0,0,0,36,3,3
59.050,8.725,36,35,0,0,0,33,3,3
59.050,8.822,15,35,0,0,0,36,2,4
59.050,8.919,22,37,0,0,0,33,2,3
59.050,9.017,32,13,0,0,0,35,2,4
59.050,9.114,32,19,0,0,0,46,2,3
59.050,9.211,30,18,0,0,0,39,2,3
59.050,9.308,33,27,0,0,0,35,2,3
59.050,9.406,32,27,0,0,0,37,2,3
59.050,9.503,29,33,0,0,0,38,2,3
59.050,9.600,13,28,0,0,0,35,1,4
59.050,9.697,15,32,0,0,0,40,2,3
59.050,9.794,13,13,0,0,0,38,1,5
59.050,9.892,23,15,0,0,0,39,1,4
59.050,9.989,30,13,0,0,0,38,2,4
59.050,10.086,27,21,0,0,0,36,1,3
59.050,10.183,32,18,0,0,0,35,2,3
59.050,10.281,20,23,0,0,0,36,1,3
59.050,10.378,5,25,0,0,0,38,1,4
59.050,10.475,11,24,0,0,0,35,1,4
59.050,10.572,4,6,0,0,0,37,1,5
59.050,10.669,1,10,0,0,0,39,1,5
59.050,10.767,0,2,0,0,0,35,1,5
59.050,10.864,0,3,0,0,0,33,1,5
59.050,10.961,0,0,0,0,0,35,1,5
59.050,11.058,0,0,0,0,0,35,1,5
59.050,11.156,18,0,0,0,0,33,1,4
59.050,11.253,27,5,0,0,0,33,1,4
59.050,11.350,35,26,0,1,0,31,2,3
59.050,11.447,12,29,0,2,0,31,1,4
59.050,11.544,8,28,0,0,0,29,0,4
59.050,11.642,0,22,0,0,0,25,0,4
59.050,11.739,0,13,0,0,0,25,0,5
59.050,11.836,0,0,0,0,0,27,0,5
59.050,11.933,0,0,0,0,0,25,0,5
59.050,12.031,0,0,0,0,8,25,0,5
59.050,12.128,0,0,0,0,6,32,1,5
59.050,12.225,0,0,0,0,2,31,1,5
59.050,12.322,0,0,0,0,0,32,1,5
59.050,12.419,0,0,0,0,0,33,1,5
59.050,12.517,0,0,1,0,0,31,1,5
59.050,12.614,1,0,0,0,0,21,0,5
59.050,12.711,0,0,0,0,0,21,0,5
59.050,12.808,2,0,0,0,0,27,0,5
59.050,12.906,0,1,0,0,0,25,0,5
59.050,13.003,5,0,0,0,0,23,0,5
59.050,13.100,5,0,,0,0,28,1,4
59.100,6.100,48,49,9,4,13,36,3,3
59.100,6.197,33,38,0,0,10,34,3,3
59.100,6.295,24,15,3,0,3,22,0,3
59.100,6.392,26,25,6,0,0,22,0,3
59.100,6.489,22,12,8,0,0,21,0,4
59.100,6.587,18,9,1,3,0,20,0,4
59.100,6.684,14,5,8,0,0,19,0,5
59.100,6.782,8,19,11,0,0,24,0,4
59.100,6.879,14,17,17,0,0,23,0,3
59.100,6.976,32,49,2,0,0,26,2,3
59.100,7.074,28,24,0,0,0,28,0,3
59.100,7.171,40,31,0,0,0,40,3,3
59.100,7.268,38,20,0,0,0,40,2,3
59.100,7.366,58,36,0,0,0,38,3,3
59.100,7.463,56,40,0,0,0,43,3,3
59.100,7.560,60,61,0,0,0,38,3,3
59.100,7.658,55,53,0,0,0,49,3,3
59.100,7.755,56,43,0,0,0,48,3,3
59.100,7.853,54,38,0,0,0,47,3,3
59.100,7.950,47,41,0,0,0,42,3,3
59.100,8.047,51,44,0,0,0,43,3,3
59.100,8.145,50,50,0,0,0,40,3,3
59.100,8.242,50,44,0,0,0,38,3,3
59.100,8.339,45,43,0,0,0,35,3,3
59.100,8.437,34,37,0,0,0,38,3,3
59.100,8.534,34,41,0,0,0,36,3,3
59.100,8.631,30,36,0,0,0,32,3,3
59.100,8.729,34,35,0,0,0,35,3,3
59.100,8.826,33,35,0,0,0,38,3,3
59.100,8.924,26,35,0,0,0,37,2,3
59.100,9.021,20,19,0,0,0,37,1,3
59.100,9.118,26,18,0,0,0,44,1,3
59.100,9.216,24,22,0,0,0,35,1,3
59.100,9.313,29,24,0,0,0,35,1,3
59.100,9.410,34,19,0,0,0,38,2,3
59.100,9.508,29,27,0,0,0,34,1,3
59.100,9.605,15,31,0,0,0,40,2,3
59.100,9.702,18,30,0,0,0,40,1,3
59.100,9.800,19,14,0,0,0,39,1,4
59.100,9.897,22,16,0,0,0,39,1,3
59.100,9.995,28,16,0,0,0,37,1,3
59.100,10.092,29,24,0,0,0,37,1,3
59.100,10.189,31,23,0,0,0,35,2,3
59.100,10.287,19,28,0,0,0,35,1,3
59.100,10.384,9,27,0,0,0,37,1,4
59.100,10.481,9,18,0,0,0,36,1,4
59.100,10.579,8,13,0,0,0,36,1,5
59.100,10.676,7,17,0,0,0,36,1,4
59.100,10.773,2,15,0,0,0,34,1,4
59.100,10.871,0,1,0,0,0,34,1,5
59.100,10.968,1,2,0,0,0,33,1,5
59.100,11.066,3,3,0,0,0,34,1,5
59.100,11.163,24,3,0,0,0,33,1,4
59.100,11.260,32,9,0,0,0,34,2,4
59.100,11.358,31,15,0,0,0,33,2,4
59.100,11.455,21,21,0,3,0,31,1,3
59.100,11.552,17,25,0,2,0,25,0,3
59.100,11.650,1,30,0,0,0,24,1,4
59.100,11.747,0,11,0,0,0,26,0,5
59.100,11.844,0,0,0,0,0,25,0,5
59.100,11.942,0,0,0,0,0,27,0,5
59.100,12.039,0,0,0,0,5,27,0,5
59.100,12.137,0,0,0,0,6,33,1,5
59.100,12.234,0,0,0,0,3,31,1,5
59.100,12.331,0,0,0,0,3,31,1,5
59.100,12.429,0,0,0,0,0,33,1,5
59.100,12.526,0,0,0,0,1,29,0,5
59.100,12.623,1,0,0,0,0,26,0,5
59.100,12.721,0,0,0,0,0,24,0,5
59.100,12.818,4,0,1,0,0,26,0,5
59.100,12.915,1,0,0,0,0,28,0,5
59.100,13.013,4,3,0,0,0,23,0,5
59.150,6.100,65,50,8,0,1,45,3,3
59.150,6.198,36,43,16,0,0,33,3,2
59.150,6.295,28,18,6,0,0,17,0,3
59.150,6.393,14,9,5,0,0,21,0,5
59.150,6.490,29,0,8,0,0,23,0,4
59.150,6.588,21,12,9,0,0,22,0,4
59.150,6.685,13,4,11,0,0,25,0,5
59.150,6.783,15,34,7,0,0,24,1,4
59.150,6.880,12,21,9,0,0,31,1,4
59.150,6.978,13,27,3,0,0,23,0,4
59.150,7.075,28,36,0,0,0,35,2,3
59.150,7.173,28,30,0,0,0,42,1,3
59.150,7.270,39,31,0,0,0,42,3,3
59.150,7.368,50,23,0,0,0,44,2,3
59.150,7.465,57,50,0,0,0,41,3,3
59.150,7.563,54,54,0,0,0,45,3,3
59.150,7.660,45,46,0,0,0,47,3,3
59.150,7.758,45,33,0,0,0,48,3,3
59.150,7.855,46,31,0,0,0,45,3,3
59.150,7.953,48,32,0,0,0,43,3,3
59.150,8.050,57,45,0,0,0,40,3,3
59.150,8.148,50,46,0,0,0,42,3,3
59.150,8.245,52,46,0,0,0,35,3,3
59.150,8.343,49,44,0,0,0,42,3,3
59.150,8.440,38,38,0,0,0,37,3,3
59.150,8.538,39,40,0,0,0,38,3,3
59.150,8.635,38,40,0,0,0,38,3,3
59.150,8.733,48,35,0,0,0,38,3,3
59.150,8.830,34,41,0,0,0,41,3,3
59.150,8.928,21,37,0,0,0,39,2,3
59.150,9.025,22,33,0,0,0,41,2,3
59.150,9.123,17,10,0,0,0,40,1,4
59.150,9.220,22,17,0,0,0,33,1,3
59.150,9.318,30,15,0,0,0,34,2,4
59.150,9.415,31,15,0,0,0,39,2,3
59.150,9.513,27,21,0,0,0,32,1,3
59.150,9.610,14,31,0,0,0,38,2,4
59.150,9.708,14,29,0,0,0,36,1,4
59.150,9.805,17,17,0,0,0,36,1,3
59.150,9.903,22,14,0,0,0,37,1,4
59.150,10.000,21,16,0,0,0,35,1,3
59.150,10.098,31,21,0,0,0,39,2,3
59.150,10.195,30,22,0,0,0,38,2,3
59.150,10.293,14,25,0,0,0,35,1,4
59.150,10.390,11,28,0,0,0,37,1,4
59.150,10.488,13,17,0,0,0,37,1,4
59.150,10.585,15,14,0,0,0,36,1,5
59.150,10.683,3,16,0,0,0,35,1,4
59.150,10.780,6,8,0,0,0,34,1,5
59.150,10.878,1,3,0,0,0,32,1,5
59.150,10.975,4,3,0,0,0,31,1,5
59.150,11.073,1,0,0,0,0,33,1,5
59.150,11.170,18,5,0,0,0,32,1,4
59.150,11.268,21,0,0,0,0,33,1,4
59.150,11.365,25,15,0,0,0,33,1,3
59.150,11.463,30,16,0,1,0,29,1,3
59.150,11.560,23,34,0,0,0,27,1,3
59.150,11.658,4,24,0,0,0,26,0,4
59.150,11.755,0,14,0,1,0,23,0,5
59.150,11.853,0,2,0,0,0,27,0,5
59.150,11.950,0,0,0,0,1,27,0,5
59.150,12.048,0,0,0,0,0,25,0,5
59.150,12.145,0,0,0,0,5,33,1,5
59.150,12.243,0,0,0,0,5,30,1,5
59.150,12.340,0,0,0,0,4,30,1,5
59.150,12.438,0,0,0,0,1,31,1,5
59.150,12.535,0,0,0,0,1,29,0,5
59.150,12.633,1,0,0,0,0,23,0,5
59.150,12.730,0,0,0,0,0,23,0,5
59.150,12.828,3,0,0,0,0,29,0,5
59.150,12.925,7,1,0,0,0,31,1,5
59.150,13.023,3,3,0,0,0,24,0,5
59.200,6.100,59,50,11,0,0,46,3,3
59.200,6.198,19,32,5,0,0,37,2,3
59.200,6.295,17,22,3,0,0,16,0,3
59.200,6.393,14,14,9,0,0,23,0,5
59.200,6.491,11,11,5,0,0,23,0,5
59.200,6.588,19,17,16,0,0,24,0,2
59.200,6.686,12,6,10,0,0,23,0,5
59.200,6.784,9,27,12,0,0,23,0,4
59.200,6.881,8,23,16,0,0,19,0,3
59.200,6.979,8,29,0,0,0,27,0,4
59.200,7.076,20,32,0,0,1,39,2,3
59.200,7.174,39,29,0,0,1,34,2,3
59.200,7.272,49,33,0,0,0,40,3,3
59.200,7.369,57,21,0,0,0,43,2,3
59.200,7.467,53,54,0,0,0,40,3,3
59.200,7.565,46,58,0,0,0,50,3,3
59.200,7.662,32,42,0,0,0,46,3,3
