område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
Meråker 63.42/11.75,63.42,11.75,0,6,-5,-12,3,17,10,26,-0,5
Trøndelag 63.55/11.35,63.55,11.35,0,5,5,17,8,21,15,9,9,18
Trøndelag 63.591/11.278,63.591,11.278,0,2,6,19,16,16,19,12,15,16
