E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
312150,6746250,60.80714,11.54663,241,407,0.0,2.8,11.3,13.8,15.2
312300,6741600,60.76554,11.55387,245,394,0.0,2.9,11.7,15.8,17.9
312300,6763650,60.96314,11.53249,313,232,0.8,1.2,13.1,12.0,14.4
312350,6752850,60.86638,11.54392,177,177,1.2,1.9,18.5,12.7,12.9
312450,6761700,60.94574,11.53715,263,201,1.2,2.0,10.2,10.7,16.9
312750,6741500,60.76485,11.56221,252,422,0.0,0.1,12.0,18.5,16.8
313050,6743000,60.77843,11.56626,228,288,0.5,2.0,13.8,16.4,16.0
313100,6760050,60.93126,11.55073,250,227,2.1,2.6,10.3,14.6,12.6
313200,6743400,60.78209,11.56863,223,163,0.1,2.1,14.7,18.8,18.7
314250,6741450,60.76510,11.58974,283,154,0.4,2.6,17.3,15.1,17.5
314350,6760750,60.93812,11.57308,356,188,0.1,0.6,10.0,12.7,12.5
314500,6758350,60.91668,11.57815,256,170,0.2,2.6,12.3,14.8,14.1
314750,6761500,60.94503,11.57972,393,245,0.9,2.2,10.3,13.7,15.7
315750,6761150,60.94236,11.59848,374,215,3.0,1.1,11.0,11.0,12.8
315800,6747100,60.81646,11.61279,165,214,0.0,1.1,12.4,16.6,13.8
316050,6752750,60.86722,11.61202,269,446,1.2,2.3,14.3,11.2,15.1
316500,6740800,60.76032,11.63157,443,439,0.0,3.0,10.6,13.5,13.0
316950,6738050,60.73588,11.64240,393,225,2.6,0.4,10.2,12.5,12.7
317300,6739400,60.74814,11.64754,395,424,2.3,2.9,10.8,10.7,14.6
317350,6752200,60.86289,11.63643,305,427,0.0,1.4,10.8,14.1,15.2
317450,6744050,60.78989,11.64593,233,254,0.1,0.6,10.2,11.7,13.2
317800,6758100,60.91597,11.63914,253,346,0.1,0.9,10.4,14.9,12.4
318100,6742750,60.77853,11.65906,329,201,0.0,2.5,13.2,11.4,14.7
318200,6749100,60.83549,11.65496,220,301,0.0,1.9,12.6,14.2,12.8
318200,6749500,60.83908,11.65458,234,209,1.2,0.4,13.9,14.3,13.7
318500,6751550,60.85759,11.65817,287,384,1.0,2.0,11.4,10.2,14.5
318650,6758850,60.92308,11.65408,281,206,0.0,0.0,13.6,11.2,16.4
320000,6740450,60.75878,11.69602,328,623,1.9,1.6,12.7,13.2,13.5
320050,6740650,60.76059,11.69675,315,469,1.0,1.1,12.7,19.5,13.4
320150,6740150,60.75616,11.69904,240,467,2.3,2.3,10.2,16.5,18.0
321500,6738300,60.74018,11.72546,224,252,0.1,1.3,10.8,14.5,13.6
321500,6746500,60.81368,11.71795,183,203,1.6,2.4,21.0,12.8,18.7
321500,6762600,60.95799,11.70308,306,189,0.7,2.9,11.0,11.1,14.0
321600,6742200,60.77518,11.72373,174,382,0.4,2.7,11.1,12.0,15.2
321750,6740100,60.75643,11.72840,182,268,0.1,0.4,13.6,14.2,17.7
321850,6754550,60.88600,11.71697,229,201,0.1,2.1,13.8,13.0,14.0
321850,6754850,60.88868,11.71670,227,488,2.8,2.9,10.2,17.0,12.0
322150,6749400,60.83997,11.72722,261,424,0.6,1.7,12.3,16.4,19.8
322200,6753950,60.88077,11.72396,233,224,2.9,0.0,11.3,13.1,14.8
322250,6751900,60.86242,11.72676,233,267,0.1,2.3,15.9,15.1,13.2
322300,6738350,60.74099,11.74007,178,239,2.6,2.4,14.3,12.2,13.5
322450,6744850,60.79932,11.73689,186,586,0.0,0.9,13.4,14.9,13.7
