lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.62279,11.86595,secondary,351,88,88,65,11.0,–,1.6,0
60.88689,11.84025,service,195,-12,0,22,2.3,–,2.8,0.5
60.84731,11.84599,service,464,63,64,38,9.4,–,1.5,0
60.51222,11.87939,service,735,-34,14,38,10.0,–,0.9,0
60.58289,11.87383,service,223,-25,0,38,3.0,–,0.5,0
60.764,11.85694,service,352,12,21,27,5.4,–,0.6,0
60.94645,11.84006,service,320,11,15,48,4.8,–,0.8,0
60.56661,11.88053,service,244,39,39,31,5.2,–,0.7,0
60.54368,11.88383,unclassified,164,13,14,30,2.8,–,2.5,0
60.69922,11.86877,service,200,-2,2,9,2.4,–,2.1,0
60.71224,11.86861,unclassified,328,24,24,24,5.2,–,2.0,0
60.54517,11.89007,unclassified,188,-22,0,27,2.5,–,2.8,0
60.63207,11.88279,service,232,2,3,4,2.9,vann,0.7,0
60.61774,11.8849,primary,448,1,3,11,5.4,–,1.4,0
60.80314,11.86743,service,290,16,25,40,5.1,bekk,0.6,0
60.76042,11.87676,service,226,-12,1,36,2.8,–,1.0,0
60.60357,11.89376,service,174,-10,0,13,1.9,–,2.7,0
60.41982,11.91313,track,187,13,22,48,4.0,–,2.9,0
60.94011,11.86431,secondary,314,-16,2,18,3.7,–,2.9,0
60.8659,11.8729,service,195,-4,4,25,2.6,myr,1.6,0
60.6203,11.89855,primary,232,-6,4,29,3.1,bekk,2.9,0
60.90012,11.87251,service,646,-44,2,24,7.7,–,0.6,0
60.79102,11.88626,service,299,29,32,39,5.6,–,1.8,0
60.45824,11.92313,track,440,42,45,28,7.7,–,0.5,0
60.6183,11.9088,service,289,-19,2,44,3.9,myr+vann,2.1,0
60.6167,11.90952,service,235,-1,2,5,2.8,–,2.2,0
60.68248,11.90649,service,246,-5,6,30,3.4,elv+vann,2.0,0
60.73717,11.90104,service,473,32,40,49,8.0,bekk,1.2,8.6
60.76362,11.89848,service,170,-2,4,11,2.1,–,0.5,0
60.80486,11.89431,service,223,16,16,20,3.4,–,1.3,0
60.68214,11.90708,service,256,-2,10,28,3.9,elv+vann,0.0,0
60.45202,11.92971,track,136,4,5,9,1.8,–,1.3,0
60.55884,11.92178,track,330,-21,1,30,4.2,–,2.4,0
60.42584,11.94454,service,389,10,13,14,5.2,–,2.0,0
60.66724,11.92297,service,151,-1,2,12,1.9,–,1.9,0
60.92472,11.89813,secondary,332,-5,7,17,4.2,–,1.4,0
60.46322,11.94449,unclassified,264,-35,2,32,4.1,–,1.8,0
60.58516,11.93297,service,178,-6,0,13,2.0,–,1.6,0
60.72728,11.92034,track,280,46,46,25,6.1,–,0.4,0
60.77249,11.91654,service,268,-8,0,13,3.0,–,1.8,0
60.87074,11.91149,service,432,-15,3,18,5.2,–,0.9,0
