område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
solor,60.60357,12.13499,1,5,34,25,11,18,13,-4,-33,-22
solor,60.61936,12.13779,1,5,31,25,8,19,15,-2,-33,-21
solor,60.57951,12.27316,1,5,15,33,14,22,6,-13,-16,-23
solor,60.64844,12.26988,1,5,8,30,23,24,9,-6,-23,-25
osen,61.33185,12.00452,1,4,31,14,29,29,17,0,-34,-19
osen,61.16172,12.06662,1,4,32,12,22,21,18,8,-32,-29
osen,61.29913,12.10254,1,4,35,12,29,29,17,4,-36,-23
elverum,60.86406,11.50639,1,4,4,17,31,28,25,-2,-30,-9
elverum,60.84006,11.72685,1,4,16,10,30,25,19,1,-31,-2
solor,60.48021,11.75063,1,4,16,12,29,32,27,-5,-24,-16
solor,60.47355,11.79498,1,4,22,9,29,34,27,-5,-20,-19
solor,60.58221,11.84085,1,4,31,12,23,26,24,-5,-25,-18
solor,60.62713,11.84832,1,4,30,11,19,25,23,-4,-25,-16
solor,60.64707,11.99643,1,4,34,17,15,15,15,-2,-33,-31
solor,60.93003,12.09608,1,4,21,6,23,30,15,8,-32,-17
solor,60.7051,12.17325,1,4,31,11,23,20,18,-5,-31,-21
solor,60.51123,12.25993,1,4,30,22,22,28,14,-16,-33,-23
osen,61.22013,12.16459,1,3,32,26,18,29,19,13,-33,-25
elverum,60.74718,11.5215,1,3,16,19,30,33,28,3,-35,-5
elverum,60.74692,11.52521,1,3,16,19,30,33,28,4,-35,-7
solor,60.51568,11.95996,1,3,22,21,32,24,23,-10,-24,-22
solor,60.5455,12.13337,1,3,31,16,16,28,16,-6,-19,-27
solor,60.46141,12.16264,1,3,33,24,18,25,18,-13,-29,-24
solor,60.74177,12.23462,1,3,29,31,29,23,18,3,-30,-20
gml 4 Madsskardveien øst,61.4518,11.1428,1,3,22,30,15,24,24,16,-6,-19
solor,60.40178,11.71121,2,5,13,9,37,34,30,-9,-16,-16
solor,60.40539,11.72249,2,5,8,7,36,34,29,-9,-16,-13
solor,60.42584,11.94454,2,4,36,10,32,29,25,-3,-33,-32
solor,60.45824,11.92313,2,3,33,19,30,28,26,-0,-18,-30
solor,60.74144,12.24015,2,3,30,31,28,23,18,4,-30,-20
gml S1 Messelt,61.4571,10.8362,2,3,32,33,26,23,28,12,-6,-2
solor,60.41982,11.91313,3,4,34,7,31,34,26,3,-33,-35
solor,60.41326,11.98333,3,3,39,32,25,32,25,-7,-34,-31
solor,60.41322,11.99334,3,3,39,32,29,32,25,-7,-34,-32
