område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
solor,60.46141,12.16264,1,3,33,24,18,25,18,0,0,0
solor,60.74177,12.23462,1,3,29,31,29,23,18,3,0,0
gml 4 Madsskardveien øst,61.4518,11.1428,1,3,22,30,15,24,24,16,0,0
solor,60.40178,11.71121,2,5,13,9,37,34,30,0,0,0
solor,60.40539,11.72249,2,5,8,7,36,34,29,0,0,0
solor,60.42584,11.94454,2,4,36,10,32,29,25,0,0,0
solor,60.45824,11.92313,2,3,33,19,30,28,26,0,0,0
solor,60.74144,12.24015,2,3,30,31,28,23,18,4,0,0
gml S1 Messelt,61.4571,10.8362,2,3,32,33,26,23,28,12,0,0
solor,60.41982,11.91313,3,4,34,7,31,34,26,3,0,0
solor,60.41326,11.98333,3,3,39,32,25,32,25,0,0,0
solor,60.41322,11.99334,3,3,39,32,29,32,25,0,0,0
