E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
329850,6842400,61.67697,11.78451,730,301,2.8,2.8,13.2,10.3,14.1
337300,6854200,61.78598,11.91448,642,489,0.2,1.2,10.1,10.6,12.7
338150,6852050,61.76707,11.93250,698,164,0.9,1.2,10.0,19.0,15.7
339350,6849850,61.74785,11.95715,736,550,1.7,2.3,10.6,12.0,13.8
339550,6848350,61.73449,11.96226,679,538,0.4,2.3,15.1,11.7,14.7
340050,6843850,61.69436,11.97567,553,197,1.4,0.6,12.3,13.3,13.9
342100,6842300,61.68131,12.01571,696,396,2.5,2.7,10.7,10.7,12.3
350600,6875400,61.98148,12.14869,699,435,1.1,1.0,10.6,12.7,16.4
353950,6876950,61.99669,12.21126,635,873,0.7,1.3,12.1,10.8,14.5
