område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
solor,60.72728,11.92034,0,7,12,1,21,15,15,5,-27,-3
solor,60.80031,11.99862,0,7,12,4,13,22,14,8,-22,-3
solor,60.69195,12.12567,0,7,10,8,23,12,15,3,-33,-14
solor,60.58221,11.84085,0,6,13,14,26,13,23,-3,-20,-16
solor,60.71881,11.99416,0,6,10,0,19,16,7,14,-34,-17
solor,60.63644,12.01171,0,6,12,13,18,22,15,8,-23,-19
solor,60.69198,12.03658,0,6,14,13,20,19,14,4,-25,-20
solor,60.81774,12.12597,0,6,12,6,6,18,10,24,-1,-10
solor,60.53938,12.18334,0,6,13,5,28,21,13,5,-20,-21
solor,60.64844,12.26988,0,6,29,12,23,10,10,7,-24,-23
solor,60.63783,12.28269,0,6,28,8,20,13,12,4,-23,-16
solor,60.61433,12.32469,0,6,23,11,21,14,7,2,-30,-11
osen,61.23076,11.72394,0,5,11,6,19,19,22,5,-16,-12
osen,61.30499,12,0,5,12,18,25,21,4,5,-34,-17
osen,61.29913,12.10254,0,5,23,14,29,22,0,8,-29,-16
elverum,60.84006,11.72685,0,5,13,13,25,25,21,5,-25,-4
solor,60.8083,11.7369,0,5,10,10,23,24,22,5,-22,-2
solor,60.55727,11.77521,0,5,14,11,25,19,24,-5,-22,-15
solor,60.83773,11.78691,0,5,11,11,23,25,21,6,-23,-4
solor,60.7856,11.8017,0,5,14,12,23,21,24,7,-31,-4
solor,60.8208,11.8083,0,5,10,10,16,23,22,6,-18,-2
solor,60.83433,11.8178,0,5,6,5,16,20,21,6,-24,-3
solor,60.6142,11.84886,0,5,14,15,27,16,22,7,-20,-18
solor,60.62713,11.84832,0,5,14,14,25,20,22,8,-21,-18
solor,60.61813,11.86311,0,5,9,14,26,18,21,9,-23,-20
solor,60.62279,11.86595,0,5,10,13,25,19,21,11,-24,-19
solor,60.84731,11.84599,0,5,7,5,17,19,19,5,-22,-5
solor,60.764,11.85694,0,5,11,7,20,19,19,1,-21,-5
solor,60.94645,11.84006,0,5,20,15,5,23,17,2,-23,-14
solor,60.56661,11.88053,0,5,13,10,29,16,22,0,-21,-18
solor,60.71224,11.86861,0,5,13,13,20,18,20,6,-32,-13
solor,60.80314,11.86743,0,5,11,3,16,22,19,8,-12,-2
solor,60.79102,11.88626,0,5,10,6,23,23,17,7,-14,-2
solor,60.73717,11.90104,0,5,9,10,19,17,16,6,-26,-5
solor,60.79972,11.9406,0,5,14,5,24,18,16,5,-14,0
solor,60.64707,11.99643,0,5,13,17,16,22,15,13,-25,-18
solor,60.63585,12.00481,0,5,14,15,20,22,15,10,-24,-19
solor,60.73436,12.01856,0,5,13,10,19,15,9,16,-34,-17
solor,60.75166,12.0287,0,5,14,11,22,22,11,19,-33,-16
solor,60.61149,12.07746,0,5,27,12,21,25,14,-2,-22,-22
solor,60.77395,12.0867,0,5,12,4,25,19,13,17,-24,-13
solor,60.71492,12.0992,0,5,20,14,23,17,8,7,-36,-17
solor,60.5455,12.13337,0,5,10,3,28,21,16,0,-23,-17
solor,60.60357,12.13499,0,5,18,7,19,19,12,-8,-24,-15
solor,60.61936,12.13779,0,5,18,9,19,17,14,-5,-26,-17
solor,60.80277,12.12363,0,5,11,8,16,23,13,23,-12,-4
solor,60.59678,12.15386,0,5,16,10,19,21,13,-1,-23,-19
solor,60.59197,12.18515,0,5,22,2,19,22,11,-5,-27,-29
solor,60.59208,12.18606,0,5,22,2,20,22,11,-5,-27,-29
solor,60.82181,12.18225,0,5,26,13,21,21,14,15,-21,-24
solor,60.96777,12.18526,0,5,1,-13,19,21,16,10,-29,-13
solor,60.47394,12.22924,0,5,16,13,28,19,15,2,-25,-18
solor,60.51123,12.25993,0,5,27,7,29,23,13,-0,-27,-19
solor,60.56099,12.29023,0,5,27,9,19,23,15,-5,-1,-21
solor,60.91635,12.26619,0,5,6,7,21,24,17,7,-35,-18
solor,60.59271,12.30401,0,5,27,13,18,22,8,-2,-25,-14
solor,60.86382,12.28116,0,5,0,11,23,21,17,12,-35,-29
solor,60.54197,12.32301,0,5,27,2,25,29,15,-7,-29,-16
osen,61.18428,11.91789,0,4,25,15,21,19,15,13,-31,-11
osen,61.33185,12.00452,0,4,16,17,29,22,6,8,-33,-15
elverum,60.81542,11.45721,0,4,15,20,20,28,23,-1,-8,-1
elverum,60.86406,11.50639,0,4,18,13,28,24,27,-0,-17,-5
elverum,60.86011,11.5304,0,4,18,14,27,25,27,7,-20,-3
solor,60.84101,11.67869,0,4,6,17,26,25,22,11,-16,-2
solor,60.64621,11.77035,0,4,18,13,22,27,25,-2,-23,-16
solor,60.86895,11.82286,0,4,8,18,21,19,18,4,-27,-5
solor,60.86673,11.82382,0,4,8,18,20,18,18,5,-28,-5
solor,60.45824,11.92313,0,4,20,9,28,26,24,13,-35,-28
solor,60.51568,11.95996,0,4,20,10,24,22,23,9,-21,-23
solor,60.84643,11.99984,0,4,18,13,22,21,17,7,-4,-7
solor,60.68049,12.05287,0,4,17,12,22,17,15,2,-25,-22
solor,60.93003,12.09608,0,4,12,16,27,22,16,13,-22,-19
solor,60.49612,12.16435,0,4,20,9,24,20,16,1,-23,-23
solor,60.49005,12.2175,0,4,17,10,29,20,17,3,-18,-11
solor,60.5524,12.24315,0,4,27,5,23,28,15,2,-23,-25
solor,60.54822,12.2499,0,4,28,5,24,26,16,1,-24,-23
solor,60.56127,12.28199,0,4,28,12,19,24,15,-5,-3,-19
solor,60.50415,12.29135,0,4,29,5,25,24,17,-5,-27,-12
solor,60.55661,12.29115,0,4,27,7,19,24,15,-5,-6,-21
