område,lat,lon,konflikter,forenlige,25.09 16.50,25.09 17.00,23.09 16.45,23.09 16.50,23.09 17.40,21.09 08.30,21.09 16.30,21.09 17.00
osen,61.16172,12.06662,0,3,20,18,21,19,17,13,-33,-15
osen,61.22013,12.16459,0,3,26,16,28,26,16,12,-34,-24
elverum,60.84087,11.46802,0,3,18,20,25,23,24,-3,-10,-2
elverum,60.82353,11.5375,0,3,18,19,21,27,25,4,-15,-1
elverum,60.82483,11.53901,0,3,18,17,22,27,26,5,-15,-1
elverum,60.79961,11.5436,0,3,18,22,24,29,27,1,-14,-4
elverum,60.76032,11.63139,0,3,20,21,25,21,25,7,-22,-3
elverum,60.74823,11.64717,0,3,19,18,22,22,26,6,-27,-6
elverum,60.75598,11.69941,0,3,16,18,23,25,25,9,-34,-4
solor,60.75598,11.69941,0,3,16,18,23,25,25,9,-34,-4
solor,60.6838,11.74917,0,3,21,16,16,25,26,9,-26,-18
solor,60.69779,11.77835,0,3,19,16,20,22,24,10,-29,-17
solor,60.69757,11.77985,0,3,19,16,20,22,24,10,-29,-17
solor,60.70008,11.78694,0,3,17,16,21,21,25,10,-30,-16
solor,60.84999,12.02271,0,3,25,18,17,22,14,16,-0,-7
solor,60.67722,12.0431,0,3,17,15,20,18,15,2,-23,-20
solor,60.47456,12.09322,0,3,16,15,25,16,19,-7,-25,-27
solor,60.46667,12.09885,0,3,17,16,26,18,19,-7,-23,-27
solor,60.46025,12.15491,0,3,23,16,24,21,15,0,-30,-23
solor,60.45713,12.15591,0,3,23,16,24,21,16,0,-30,-22
solor,60.46141,12.16264,0,3,22,16,25,22,16,-0,-30,-22
solor,60.46866,12.28663,0,3,28,17,27,23,18,-2,-25,-11
gml 2 Madsskardveien,61.4443,11.1234,0,2,29,28,25,28,24,19,-8,-4
solor,60.7051,12.17325,1,4,30,9,20,23,17,4,-31,-15
solor,60.57951,12.27316,1,4,32,15,20,29,11,-4,-16,-18
gml 1 Myklebysæterveien,61.3995,11.0316,1,4,16,34,14,28,15,18,-4,2
elverum,60.74718,11.5215,1,3,19,19,31,30,29,2,-25,-2
elverum,60.74692,11.52521,1,3,17,20,31,30,29,2,-25,-1
solor,60.74177,12.23462,1,3,31,16,23,18,17,10,-29,-19
solor,60.74144,12.24015,1,3,31,16,23,18,17,12,-29,-18
gml A1-G13,61.44856,10.98472,1,2,26,33,25,27,24,18,11,-10
solor,60.40178,11.71121,2,5,8,12,35,31,30,5,-17,-9
solor,60.40539,11.72249,2,5,10,12,35,31,29,4,-15,-7
solor,60.48021,11.75063,2,5,11,9,32,30,26,6,-33,-21
solor,60.47355,11.79498,2,5,7,4,34,33,27,6,-37,-15
solor,60.41982,11.91313,2,5,9,10,34,32,23,-3,-38,-31
solor,60.42584,11.94454,2,4,32,11,29,33,23,5,-38,-31
gml S1 Messelt,61.4571,10.8362,2,3,33,38,21,27,24,2,-20,-4
gml 4 Madsskardveien øst,61.4518,11.1428,2,3,31,32,24,28,23,12,-22,-5
solor,60.41326,11.98333,3,4,34,15,32,32,23,2,-38,-28
solor,60.41322,11.99334,3,4,33,15,32,32,23,0,-38,-27
