E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
345500,6714800,60.53947,12.18352,319,418,2.0,1.1,10.6,10.1,12.3
345550,6729750,60.67355,12.17272,198,214,1.6,1.3,10.1,16.1,16.2
345600,6734050,60.71213,12.17025,370,177,2.3,2.8,12.3,11.6,13.5
345600,6745350,60.81346,12.16130,334,330,0.1,0.9,10.7,13.7,12.2
345700,6708550,60.48349,12.19202,288,231,1.3,2.5,16.9,15.6,15.4
345750,6733250,60.70501,12.17362,344,178,2.5,0.9,18.4,15.0,14.7
345800,6726150,60.64136,12.18011,319,247,0.1,2.1,11.9,11.8,12.4
345850,6720650,60.59206,12.18533,379,295,0.1,0.1,12.6,15.5,16.5
345900,6720650,60.59208,12.18624,383,303,0.2,0.9,11.6,14.8,14.9
346200,6701750,60.42270,12.20635,258,230,1.8,1.2,11.7,15.2,15.9
346400,6704500,60.44744,12.20786,335,318,0.6,1.7,13.6,10.2,14.6
346400,6710950,60.50528,12.20288,262,302,0.3,2.1,12.2,10.3,12.2
346450,6732850,60.70170,12.18674,345,194,1.2,1.9,10.3,10.0,13.8
346500,6717150,60.56092,12.19990,338,245,0.5,1.0,11.1,11.4,13.9
346650,6738650,60.75378,12.18585,279,172,1.8,1.3,12.4,11.2,14.6
346750,6728850,60.66594,12.19536,192,205,0.0,1.2,11.9,12.1,12.5
346750,6769000,61.02597,12.16361,541,186,0.4,0.2,12.4,10.5,12.2
346800,6746250,60.82199,12.18262,512,462,0.1,0.8,11.0,14.3,13.6
346850,6729550,60.67226,12.19664,209,259,0.2,2.6,15.7,12.3,17.1
346850,6747100,60.82963,12.18287,509,256,0.2,1.7,11.8,11.0,14.1
346950,6703250,60.43644,12.21880,298,368,0.9,2.8,15.8,16.8,19.1
347000,6730400,60.67994,12.19872,274,454,0.1,2.2,11.8,14.6,13.1
347100,6725200,60.63334,12.20459,337,324,0.7,2.7,11.5,12.8,15.2
347150,6709200,60.48988,12.21787,338,365,0.1,2.1,10.8,13.5,12.9
347150,6744750,60.80868,12.19023,446,215,0.9,2.0,14.1,16.5,20.2
347250,6731550,60.69034,12.20239,355,183,0.4,0.3,11.2,14.6,15.3
347300,6771200,61.04591,12.17202,685,206,2.7,2.9,10.6,11.5,12.5
347500,6702250,60.42768,12.22955,258,230,0.2,0.3,11.0,10.5,12.0
347650,6762450,60.96759,12.18545,581,359,1.0,1.1,11.3,14.3,13.3
347700,6707400,60.47394,12.22924,363,550,2.5,2.9,12.0,15.3,15.1
347750,6725300,60.63449,12.21638,275,158,1.2,1.8,13.6,12.8,12.7
348050,6711650,60.51219,12.23235,428,458,2.3,1.4,12.4,12.4,12.6
348150,6753200,60.88483,12.20196,371,308,1.7,2.5,10.5,15.6,15.2
348200,6719250,60.58040,12.22926,404,518,0.1,0.0,10.3,12.1,16.5
348250,6723700,60.62033,12.22675,325,518,0.3,1.8,18.0,14.6,15.3
348450,6743850,60.80110,12.21479,511,676,0.1,2.3,10.3,11.3,14.6
348550,6714650,60.53928,12.23916,361,626,2.3,2.2,12.0,14.6,12.8
348550,6747200,60.83118,12.21402,445,517,3.0,2.1,13.0,11.2,14.1
348600,6704750,60.45051,12.24761,327,315,0.6,0.9,10.2,12.4,15.6
348700,6723050,60.61467,12.23546,382,239,1.7,0.2,11.7,16.0,13.4
348850,6716100,60.55240,12.24351,411,603,0.0,0.3,10.3,11.3,14.1
349000,6703400,60.43856,12.25589,306,253,0.8,1.7,11.2,12.3,15.0
349150,6716150,60.55296,12.24894,412,730,2.6,1.0,11.6,14.6,13.9
349200,6715600,60.54804,12.25027,405,391,0.7,2.6,14.4,11.6,14.4
349250,6715700,60.54896,12.25110,400,496,1.2,2.8,12.6,14.8,12.6
349250,6737200,60.74177,12.23462,350,241,0.6,2.7,12.2,12.2,16.2
349300,6715600,60.54808,12.25209,394,472,2.8,1.7,12.0,10.2,18.5
349550,6711500,60.51141,12.25975,427,646,0.3,0.7,13.0,17.1,17.3
349550,6719850,60.58629,12.25341,433,325,0.2,2.0,10.7,11.9,14.8
349550,6725100,60.63337,12.24940,197,230,0.0,1.2,10.3,14.5,12.3
349550,6737150,60.74144,12.24015,315,245,0.4,2.8,16.6,19.7,19.8
349700,6700650,60.41415,12.27067,285,341,0.5,1.2,13.7,13.6,12.1
349700,6731050,60.68679,12.24759,271,172,0.7,1.4,10.4,13.9,13.4
349750,6727150,60.65183,12.25149,209,175,2.2,2.1,12.6,13.5,14.1
349750,6733950,60.71281,12.24628,341,217,0.1,0.1,10.3,14.6,15.9
349800,6726100,60.64243,12.25320,194,367,1.3,2.2,13.9,13.4,15.0
349850,6734500,60.71778,12.24768,341,261,0.0,0.7,10.3,10.2,13.4
349950,6713450,60.52904,12.26555,335,226,1.9,2.7,11.8,10.0,15.8
350050,6731150,60.68782,12.25391,272,513,0.2,2.6,12.1,11.6,12.4
350100,6735600,60.72774,12.25142,322,476,1.1,2.9,12.2,15.3,14.6
350150,6731950,60.69503,12.25513,303,188,2.4,1.8,11.5,14.1,12.0
350350,6727600,60.65609,12.26210,240,152,0.2,0.9,17.2,10.2,18.2
350500,6719350,60.58216,12.27111,414,314,1.0,0.5,10.5,12.2,12.9
350550,6720300,60.59070,12.27130,399,363,2.1,0.6,16.3,15.1,15.9
350550,6726500,60.64630,12.26660,206,224,0.0,2.6,10.8,12.3,13.8
350550,6737500,60.74495,12.25820,285,550,0.2,2.1,10.4,11.5,12.3
350600,6719050,60.57951,12.27316,397,453,1.6,3.0,12.0,11.1,14.6
350600,6727900,60.65888,12.26644,231,288,0.1,2.4,12.2,18.9,13.0
350750,6726750,60.64862,12.27006,236,331,0.5,1.6,15.4,19.2,17.0
350800,6750550,60.86208,12.25277,312,606,1.2,2.3,10.6,10.3,12.6
350850,6706700,60.46884,12.28700,415,220,2.9,2.4,11.0,13.2,16.8
350850,6727850,60.65852,12.27105,229,287,0.1,0.7,16.8,10.2,15.5
351000,6717000,60.56127,12.28199,330,227,2.6,1.4,12.9,13.0,14.3
351050,6721850,60.60479,12.27925,226,266,2.4,2.3,14.7,16.0,17.0
351100,6728200,60.66175,12.27535,229,199,2.8,2.9,16.9,21.9,21.1
351200,6727050,60.65148,12.27805,219,273,0.1,0.1,11.3,10.3,15.1
351200,6738000,60.74968,12.26973,270,179,0.0,2.2,11.2,10.4,12.7
351200,6768050,61.01916,12.24660,491,374,0.0,2.7,10.7,14.7,13.6
351250,6710600,60.50397,12.29135,429,657,2.5,1.2,10.8,12.8,12.9
351400,6725500,60.63765,12.28288,252,334,0.0,1.2,11.3,13.9,15.0
351450,6716950,60.56099,12.29023,393,191,1.3,1.1,13.0,13.7,17.2
351500,6716450,60.55652,12.29151,386,245,0.4,0.2,11.0,11.7,17.2
351600,6724500,60.62876,12.28728,246,157,0.2,2.0,11.0,12.7,17.0
351600,6724650,60.63010,12.28717,249,220,1.3,2.2,10.6,11.3,12.6
351600,6725400,60.63683,12.28660,249,238,0.4,0.6,12.0,11.1,15.0
351600,6751900,60.87448,12.26645,335,446,0.2,2.2,10.6,16.9,13.1
351650,6730950,60.68662,12.28333,260,215,0.9,1.7,15.7,15.7,16.3
351700,6702000,60.42700,12.30594,437,268,2.1,2.9,10.1,10.8,15.9
351800,6756550,60.91626,12.26656,452,278,2.4,1.0,12.1,13.7,15.8
351850,6730600,60.68356,12.28725,247,199,2.5,2.7,17.2,10.2,14.1
351900,6708350,60.48403,12.30485,423,677,2.1,2.9,12.6,15.5,15.9
351950,6735400,60.72664,12.28545,245,233,1.5,2.9,10.8,12.5,15.5
352100,6763400,60.97780,12.26682,426,248,0.0,0.0,11.3,15.4,13.1
352200,6723800,60.62270,12.29876,250,153,2.1,2.4,12.5,11.8,14.4
352300,6701300,60.42094,12.31734,426,250,0.4,1.4,11.6,11.4,12.5
352350,6720450,60.59271,12.30401,259,281,2.2,0.6,13.3,11.3,13.7
352350,6750700,60.86400,12.28116,317,602,0.5,0.1,11.7,10.5,13.6
352400,6751950,60.87523,12.28112,352,255,0.1,1.2,10.1,10.7,15.1
352800,6728900,60.66866,12.30590,269,455,0.8,0.1,13.9,17.8,16.7
352900,6731800,60.69470,12.30555,210,255,1.2,0.6,13.3,16.7,15.0
352950,6734850,60.72208,12.30417,232,409,1.8,0.2,12.9,12.0,12.4
353050,6734450,60.71853,12.30630,265,311,0.1,0.9,10.7,11.8,13.3
353150,6714750,60.54188,12.32283,323,286,0.9,2.9,12.1,13.6,16.5
353250,6713450,60.53026,12.32561,282,571,2.9,2.0,12.5,12.9,12.0
353300,6729150,60.67109,12.31485,353,845,1.8,2.9,11.2,16.1,17.9
353550,6732050,60.69719,12.31725,229,846,0.4,2.9,15.3,13.8,13.3
353600,6722800,60.61424,12.32506,280,316,0.8,2.1,12.6,20.4,14.6
353700,6732700,60.70307,12.31951,221,737,1.4,1.6,10.1,11.1,15.6
353800,6721700,60.60445,12.32952,240,309,0.1,1.5,11.8,19.9,16.8
353800,6739950,60.76813,12.31591,249,499,2.2,2.1,10.7,12.8,16.0
353900,6719900,60.58835,12.33268,247,232,2.9,2.9,14.4,16.0,15.5
354000,6722950,60.61574,12.33225,282,548,2.2,2.5,10.5,11.9,12.4
354000,6753050,60.88569,12.30973,342,365,0.1,2.8,12.4,12.4,12.6
354100,6712800,60.52474,12.34156,272,873,2.9,1.1,10.4,12.1,12.4
